Row1 Row2 Row3 Row4 Row5 Row6 Row7 Row8 Row9 Row10 Row11 Row12 Row13 Row14 Row15 Row16 Row17 Row18 Row19 Row20 Row21 Row22 Row23 Row24 Row25 Row26 Row27 Row28 Row29 Row30 Row31 Row32 Row33 Row34 Row35 Row36 Row37 Row38 Row39 Row40 Row41 Row42 Row43 Row44 Row45 Row46 Row47 Row48 Row49 Row50 Row51 Row52 Row53 Row54 Row55 Row56 Row57 Row58 Row59 Row60 Row61 Row62 Row63 Row64
4371 -1999 9897 2160 -2000 9160 2076 -1999 6888 -1999 9380 2378 -2000 9811 2170 -2000 7793 -2000 6454 4872 -2000 9505 1860 -2000 8817 2596 9304 5676 -1999 8617 5554 -1999 8472 1863 -2000 6960 5825 8572 2932 -2000 7293 1889 -2000 7531 868 8870 3084 -2000 9593 2928 -2000 8394 3638 8503 6555 -2000 8786 2468 -2000 9333 3095 -2000 7147 4667
4469 -1999 9897 2293 -2000 9231 2309 -1999 6735 -2000 9596 2406 -2000 9286 1724 -2000 8859 -1139 6454 4526 -2000 8723 1710 -2000 7937 2494 9262 4424 -1999 9104 8366 -2000 8472 1652 -2000 6841 5061 7909 2848 -2000 8382 1847 -2000 7584 921 8585 3752 -2000 8958 2932 -2000 8290 3593 8202 7669 -2000 8748 2680 -2000 9382 3282 -2000 7097 5155
4509 -1999 9190 2293 -2000 8792 2697 -1999 6740 -2000 8934 2406 -2000 9322 1890 -2000 9045 -1999 9170 4929 -2000 8723 1807 -1999 7802 2217 8977 5936 -1999 9979 5922 -2000 8692 5664 -1999 7022 5040 8662 2108 -2000 8600 7367 -2000 7864 894 8145 3599 -1999 8797 3035 -2000 7802 3171 7737 5730 -1999 8289 2506 -2000 9184 3181 -2000 8189 5141
4424 -1999 9463 2306 -2000 8831 3269 -1999 7479 -2000 8946 2432 -2000 9925 1692 -2000 8741 -253 6791 4296 -2000 9918 2327 -2000 7631 2229 7997 5936 -1999 9493 5922 -2000 8987 1591 -1999 7852 4378 7787 3101 -1999 8615 1776 -2000 8308 883 7946 3369 -1999 8971 2852 -2000 7912 6067 9552 4414 -1999 9176 2239 -2000 9571 2964 -1999 8212 4414
4100 -2000 8966 3136 -2000 8674 2856 -2000 8316 -1999 8842 2418 -2000 9925 1656 -2000 9330 1052 7518 4285 -1999 9453 2257 -1999 7631 2317 7241 4051 -1999 8816 4598 -2000 8688 6535 -2000 8864 4556 8710 2269 -1999 8094 1911 -2000 7487 883 8131 3423 -1999 8429 3180 -2000 8036 4545 9301 3958 -1999 9176 2387 -2000 9360 3299 -1999 7998 4220
4332 -2000 9301 3832 -2000 8693 3264 -2000 7593 -1999 8648 2312 -2000 9419 1430 -2000 8482 1786 8280 4443 -1999 9390 2757 -2000 8080 2358 8030 5320 -1999 9210 4082 -1999 8856 5900 -2000 7726 4673 9206 2392 -1999 7943 1693 -1999 7272 871 8719 4228 -2000 9017 3927 -1999 8461 5207 9360 4178 -2000 8492 2387 -2000 8830 3299 -1999 8114 4344
5089 -2000 9494 3832 -2000 8451 3391 -2000 7525 -1999 9780 2312 -2000 9644 2291 -2000 7637 1853 8361 4502 -1999 9685 3088 -2000 8139 2241 7977 8343 -1999 9064 3837 -1999 9006 1942 -1999 7468 5213 9402 2359 -1999 8277 1617 -2000 7121 895 8837 3413 -1999 9220 4160 -1999 9445 3838 9140 5553 -1999 7557 2475 -2000 8942 3847 -2000 8093 4229
4967 -2000 9604 3722 -2000 8240 3742 -2000 7097 -2000 9561 2295 -2000 9644 1515 -2000 8890 2191 8626 4019 -1999 9685 3633 -2000 8276 2022 8600 8343 -1999 9306 4236 -2000 9211 3665 -2000 8202 4797 9302 2352 -2000 8212 1617 -1999 9303 872 8896 3213 -2000 9837 5027 -1999 8506 3725 8682 5258 -1999 9320 2475 -2000 8823 4012 -2000 8288 4229
4139 -1999 9773 3224 -2000 8832 3551 -2000 7015 -2000 8819 2353 -2000 9175 1489 -2000 9982 2265 8938 4433 -1999 9692 4699 -2000 8276 1964 9784 4450 -2000 9306 4281 -2000 8821 4192 -2000 6414 9128 9661 2635 -2000 8336 1493 -2000 9303 872 8782 3297 -1999 9929 2903 -2000 8215 5885 8678 4638 -1999 8142 2524 -2000 8885 3444 -2000 7794 4174
3784 -2000 9859 2681 -2000 8832 3184 -2000 6944 -2000 8982 2436 -2000 9092 2894 -2000 9876 1652 8850 4434 -1999 9051 6108 -2000 7967 2086 9628 4039 -2000 7990 4281 -2000 9884 2254 -2000 6620 4727 9591 2501 -2000 8695 1586 -1999 7224 905 8992 3194 -1999 9929 2340 -1999 7500 3271 9299 5178 -1999 7444 2772 -2000 8524 3228 -1999 8054 3875
3916 -2000 9803 2378 -2000 8336 2820 -2000 5957 173 9390 2481 -2000 9378 1566 -2000 9249 1652 9113 5019 -1999 9178 6508 -2000 8411 2220 9628 4397 -1999 8522 3390 -2000 8837 2139 -1999 6620 4708 9526 2485 -1999 8476 1845 -2000 8123 888 8652 3406 -2000 9230 8326 -1999 7869 2854 9063 5190 -1999 8302 2711 -2000 8288 3401 -2000 8054 7075
3864 -2000 9714 2312 -2000 8336 2755 -2000 6481 3254 9152 2397 -2000 8480 1408 -2000 8262 4630 8676 4573 -1999 9311 6775 -2000 9102 2194 8172 4703 -1999 8629 3390 -2000 9107 2139 -1999 6646 5197 9071 2232 -1999 8328 2018 -2000 7981 820 9167 3406 -1999 9003 4265 -1999 8189 2811 9569 4762 -1999 8717 2644 -2000 8379 3401 -2000 7640 9902
